,ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
0,600129.SH,20190426,20190331,0.19,0.19,5.5787,5.5787,3.6997,0.3627,1.1949,79214169.8,25902893.31,1324814544.16,0.9686,0.6046,0.5259,2.0312,0.4099,1.291,0.2376,44507843.87,217020252.72,,-278981829.59,-315927629.59,4704828809.23,492065826.2,4663778074.61,3004154019.11,2013793841.2,-250949786.84,1378207064.27,8059521687.97,867399997.62,0.1888,6.107,0.1563,1.5576,0.0302,0.3897,-0.501,-0.5673,3.515,42.6437,57.3563,40.0233,3.515,30.4967,6.9526,2.574,0.1317,98.5674,4.399,6.9855,3.1401,3.09,0.7738,1.66,0.8353,2.1554,12.5604,6.64,74.3842,3.9038,3.9053,58.4069,41.5931,15.1911,57.8667,42.1974,81.0656,18.9344,0.0109,2.9038,0.3449,0.7292,0.2042,0.4318,0.6703,0.0088,187.8495,3.3412,0.8041,2708453135.43,4.4115,30.4967,98.5674,3.1401,0.7738,0.8353,2.8021,850.0,850.0,633.8028,496.9026,611.0869,803.4798,78.37,635.3942,742.4111,3.2425,2.842,3.2414,38.0821,38.0821,38.0821,230.3704,7.2493
1,600129.SH,20190416,20181231,0.13,0.13,19.1948,19.1948,3.6997,0.3627,0.9103,153892876.97,-83629381.96,4302287859.73,0.9554,0.5981,0.5183,7.7504,1.6303,4.6731,0.9077,-31513299.86,342239889.81,564795576.74,-1109633443.5772,-1364539320.1872,4421516886.09,482899037.97,4700723874.61,3090628847.79,1913473442.33,-346357820.04,1385453859.75,7985668749.48,708929780.23,0.1262,5.9152,0.1875,1.273,0.8439,0.6146,-1.9926,-2.4503,0.5805,40.2482,59.7518,37.0267,0.5805,27.0771,7.3763,2.5733,2.263,100.2948,1.3962,3.2017,3.1077,2.27,-3.6988,2.9062,0.5269,2.1421,3.1077,2.9062,74.5157,3.924,5.2085,57.5409,42.4591,14.8445,58.8645,41.2506,80.8257,19.1743,0.0134,2.924,0.343,0.7008,0.1992,0.4071,0.6191,0.0109,194.9824,0.5269,0.5967,3684177717.64,1.3116,26.6466,106.4189,-2.3403,-4.8982,-0.8282,3.1339,-43.4783,-43.4783,157.0429,-18.453,-22.4874,-28.1109,-230.71,182.8148,-73.0433,105.6674,19.1191,166.684,21.8405,21.8405,37.0299,-178.3902,166.684
2,600129.SH,20181025,20180930,0.2631,0.2631,13.9044,13.9044,3.6774,0.3627,1.0891,70566345.36,75938147.59,3254120541.21,1.0217,0.6308,0.5636,5.5265,1.2144,3.4315,0.6784,157596782.85,459172118.54,,-1173319084.3875,-1180832730.9475,3519592832.23,486377802.49,4930872438.54,2978137131.43,1900346795.88,149887564.39,1584547527.82,8160978679.1,808487070.64,0.2631,5.7844,0.0217,1.4518,0.8044,0.8245,-2.1069,-2.1204,2.1414,42.0254,57.9746,38.6309,2.1414,27.2409,8.6774,2.7126,0.137,97.9647,3.2812,5.93,6.5859,6.59,3.4137,4.0226,1.4526,4.2693,8.7812,5.3635,73.4518,3.7667,5.1313,58.0004,41.9996,15.6189,60.4201,39.4714,77.2867,22.7133,0.0017,2.7667,0.3604,0.6533,0.2126,0.3854,0.6381,0.0014,205.1417,1.9368,1.2835,2579335748.83,3.2174,29.85,98.1476,2.898,0.7434,0.8562,0.1148,43.5352,43.5352,-4.8246,86.3516,73.2004,87.1904,19.13,24.3706,-29.135,101.1196,12.4365,160.7836,16.9097,16.9097,19.2008,37.2241,164.1507
3,600129.SH,20180818,20180630,0.0975,0.0975,9.24,9.24,3.6774,0.3627,0.9236,2019532.88,52287822.64,2133431544.13,1.0296,0.6227,0.5576,3.7969,0.816,2.3077,0.4555,109478882.6,230922287.87,338143686.12,-843296164.8219,-1004177390.7919,3607929495.05,384945254.65,4800332520.81,2930656533.89,1820240820.26,198539736.51,1439179102.4,7939679993.62,716289933.21,0.0975,5.6411,0.0163,1.2862,0.6548,0.4147,-1.5143,-1.8032,1.2174,41.4607,58.5393,37.7997,1.2174,25.9239,9.1664,2.7094,0.2058,97.8724,2.3388,4.4877,2.4859,1.76,2.3934,2.044,0.5545,1.7515,4.9718,4.088,73.6909,3.801,5.1713,57.9657,42.0343,15.2544,60.46,39.5667,76.4027,23.5973,0.0014,2.801,0.3573,0.6544,0.207,0.3792,0.6211,0.001,203.6707,1.109,0.4807,3277518285.63,2.2774,29.0484,97.1434,1.352,1.1965,0.4646,-0.0947,19.7789,19.7789,109.2456,33.7192,26.9474,56.2896,73.92,112.0861,-36.5534,96.1371,10.2704,154.3246,15.7863,15.7863,12.4198,325.6304,146.3325
4,600129.SH,20180428,20180331,0.0209,0.0209,4.0401,4.0401,3.6775,0.3627,0.8469,-2887309.12,14521997.47,905677586.27,1.0073,0.6178,0.5561,1.7125,0.354,1.0079,0.1981,26757014.86,93894687.49,,-938128536.154,-1087507225.064,3618566422.25,493083318.81,4789007396.19,2692534393.83,1863741589.86,50991201.59,1300428789.6,7944865141.56,673617266.04,0.0209,5.6942,0.0213,1.2096,1.0301,0.1686,-1.6846,-1.9528,0.3074,40.2541,59.7459,37.1171,0.3074,21.9023,11.8981,3.3166,0.7551,98.8107,1.0176,4.1733,0.529,0.37,0.6603,0.8266,0.0609,0.4778,2.116,3.3064,73.8245,3.8204,5.1648,58.1882,41.8118,15.4584,60.278,39.913,78.2468,21.7532,0.0017,2.8204,0.3563,0.6621,0.2094,0.3892,0.6922,0.0013,226.9733,0.2436,0.1024,3211303659.16,0.8566,21.9023,98.8107,0.529,0.6603,0.0609,0.5261,287.037,287.037,109.9208,378.3188,212.9125,402.9029,2381.87,112.9184,104.3123,97.9834,11.4159,156.718,20.4279,20.4279,20.4279,-59.4689,146.1442
5,600129.SH,20180421,20171231,0.23,0.23,20.4606,20.4606,0.5048,0.4731,1.0776,33758670.93,64374833.31,3195899007.35,0.7039,0.3953,0.348,7.9853,1.6459,4.0367,0.8699,130517836.39,353288350.42,558607516.13,-727620452.5648,173415424.0452,3998855388.71,507840792.76,4938386085.1,3780885749.09,-82562459.51,-2396256353.49,539573027.6,6155739328.31,661982577.69,0.2299,2.8761,-0.3287,1.5507,-0.2495,0.8276,-1.7045,0.4062,1.0926,36.5893,63.4107,33.6416,1.0926,21.7152,9.3481,2.5783,0.1581,98.5057,2.1075,4.0447,7.8122,7.74,5.1247,3.5183,0.9504,3.2319,7.8122,3.5183,88.5828,8.7587,7.9937,53.4205,46.5795,-0.7743,80.2241,19.9458,85.6762,14.3238,-0.0173,7.7587,0.13,0.2486,-0.0087,-0.0167,-0.0218,-0.0149,185.6694,0.9504,0.9773,3090516072.73,2.0829,37.6565,99.9378,1.6237,0.0515,0.0606,-7.1057,-88.5572,-88.5572,-32.8618,-78.5358,-79.2803,-88.5386,114.63,-29.5854,-88.0744,-4.4167,11.9089,-3.8931,9.8429,9.8429,-5.4872,21.8989,-3.8931
6,600129.SH,20171028,20170930,0.1833,0.1833,15.515,15.515,0.4874,0.4731,1.0832,14520562.25,63744406.65,2136735337.39,0.7327,0.4218,0.3756,6.7776,1.3099,3.1493,0.6835,129204004.84,321172099.37,,-716041147.9274,-68549270.4974,3517994364.74,545197042.0,4675754126.27,3418406226.43,-33101274.76,-1895245742.29,419504116.14,5897643381.96,664362876.26,0.1833,2.8566,0.0228,1.5563,0.0476,0.7523,-1.6773,-0.1606,1.3465,32.2611,67.7389,29.1244,1.3465,16.6337,9.8133,2.6774,0.1576,98.0492,1.9264,4.8492,6.2512,6.25,5.0914,3.3143,0.9203,3.5528,8.3349,4.4191,87.7331,8.152,7.7401,52.1527,47.8473,-0.3323,79.2817,20.6773,81.1321,18.8679,0.0014,7.152,0.1395,0.2608,-0.0038,-0.0071,-0.0097,0.0011,161.2018,1.2271,0.8076,3014588565.81,2.1717,16.8404,97.8831,3.4887,2.7001,0.4274,3.8996,-91.7431,-91.7431,146.0606,-86.433,-85.6092,-91.5854,124.16,145.9955,-89.013,-5.0648,4.5452,-4.5456,15.8318,15.8318,18.9898,-39.3931,-23.4132
7,600129.SH,20170805,20170630,0.0814,0.0814,10.4103,10.4103,0.4874,0.4731,1.2812,4683795.89,30064099.88,1438540292.57,0.7266,0.4258,0.3796,4.5676,0.912,2.0874,0.4724,83073145.25,171367191.81,270052504.31,-566750460.7182,-68182026.2482,3170549248.29,471928295.04,4472790218.97,3373522836.32,90005801.16,-1816274555.46,558391912.86,5752654222.32,748914003.13,0.0814,2.9874,-0.1763,1.7543,-0.0552,0.4014,-1.3276,-0.1597,1.0761,32.3696,67.6304,29.1685,1.0761,16.5323,10.0124,2.6238,0.1782,98.1307,1.8282,3.856,2.7149,2.71,2.3489,1.8216,0.5083,1.6046,5.4298,3.6432,86.3774,7.3407,7.3503,51.3905,48.6095,0.958,77.7518,22.1688,81.8763,18.1237,-0.0113,6.3407,0.1571,0.2851,0.0111,0.0201,0.0267,-0.0093,154.0431,1.0166,0.3694,2914538394.69,2.0772,17.2631,97.0925,2.5304,2.2998,0.4895,0.6355,-96.4602,-96.4602,59.9591,-91.7536,-90.9817,-96.3971,114.38,59.961,-95.3708,-0.7178,-1.3922,-0.1761,14.3438,14.3438,17.7383,1497.3773,-22.1695
8,600129.SH,20170429,20170331,0.0054,0.0054,4.3764,4.3764,0.4874,0.4731,1.2052,1728382.62,585123.45,578571397.9,0.7335,0.4364,0.3843,2.0358,0.3815,0.8805,0.1982,8180891.12,56720011.5,,-372739476.109,-310527067.249,3562429737.59,490113422.14,4098682101.27,2900957932.16,81061323.52,-1771227848.6,115523715.56,5378466196.85,716479613.43,0.0054,3.0178,-0.2147,1.6784,-0.3255,0.1329,-0.8731,-0.7274,0.0932,30.9686,69.0314,29.484,0.0932,15.5247,11.253,2.7063,0.1523,99.5621,0.2562,3.036,0.1798,0.18,0.0455,0.6018,0.0185,0.3,0.7192,2.4072,86.43,7.3692,7.3271,51.6984,48.3016,0.8595,76.2054,23.9526,81.5449,18.4551,-0.0138,6.3692,0.158,0.3143,0.0099,0.0198,0.0279,-0.0112,176.9521,0.074,0.0245,2832428506.43,0.3297,15.5247,99.5621,0.1798,0.0455,0.0185,-4.9048,-99.7494,-99.7494,22.069,-99.4635,-99.3322,-99.7484,100.88,22.0889,-99.6865,0.2925,-1.0156,0.8404,9.9724,9.9724,9.9724,102.6637,-19.7541
9,600129.SH,20170429,20161231,2.0,2.0,18.2435,18.2435,0.4874,0.4731,1.1998,1296116761.93,-442798304.51,2368616996.48,0.7272,0.4567,0.409,8.937,1.4615,3.9754,0.8008,-552122602.31,1037293776.6,1235468132.92,-1691089383.4086,-1414946783.4086,3595685665.59,512058719.87,4036469692.41,2618012221.27,68547852.7,-1845333454.32,-96227601.05,5312472825.75,714166107.36,1.9989,3.009,-0.2474,1.6729,-0.4757,2.4299,-3.9614,-3.3145,10.9048,30.4135,69.5865,36.015,10.9048,20.0902,13.0274,2.8974,0.4034,107.0894,9.768,13.319,74.1351,76.11,-38.4697,10.6662,8.7328,19.3714,74.1351,10.6662,86.4546,7.3826,8.449,52.206,47.794,0.7277,75.981,24.1791,83.0436,16.9564,-0.0156,6.3826,0.1577,0.3182,0.0084,0.017,0.0262,-0.013,158.2916,8.7328,8.7744,2768824917.27,11.2288,29.9993,116.8673,-5.3386,-12.4416,-0.6936,-4.0816,270.3704,270.3704,-75.3366,144.521,136.9501,268.434,17.46,-63.2093,190.5688,26.2376,-6.0831,26.7975,8.598,8.598,16.9813,-300.9917,26.7975
